Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Bulbasaur,45,49,49,65,65,45
Ivysaur,60,62,63,80,80,60
Venusaur,80,82,83,100,100,80
Charmander,39,52,43,60,50,65
Charmeleon,58,64,58,80,65,80
Charizard,78,84,78,109,85,100
Squirtle,44,48,65,50,64,43
Wartortle,59,63,80,65,80,58
Blastoise,79,83,100,85,105,78
Caterpie,45,30,35,20,20,45
Metapod,50,20,55,25,25,30
Butterfree,60,45,50,90,80,70
Weedle,40,35,30,20,20,50
Kakuna,45,25,50,25,25,35
Beedrill,65,90,40,45,80,75
Pidgey,40,45,40,35,35,56
Pidgeotto,63,60,55,50,50,71
Pidgeot,83,80,75,70,70,101
Rattata,30,56,35,25,35,72
Raticate,55,81,60,50,70,97
Spearow,40,60,30,31,31,70
Fearow,65,90,65,61,61,100
Ekans,35,60,44,40,54,55
Arbok,60,85,69,65,79,80
Pikachu,35,55,40,50,50,90
Raichu,60,90,55,90,80,110
Sandshrew,50,75,85,20,30,40
Sandslash,75,100,110,45,55,65
Nidoran♀,55,47,52,40,40,41
Nidorina,70,62,67,55,55,56
Nidoqueen,90,92,87,75,85,76
Nidoran♂,46,57,40,40,40,50
Nidorino,61,72,57,55,55,65
Nidoking,81,102,77,85,75,85
Clefairy,70,45,48,60,65,35
Clefable,95,70,73,95,90,60
Vulpix,38,41,40,50,65,65
Ninetales,73,76,75,81,100,100
Jigglypuff,115,45,20,45,25,20
Wigglytuff,140,70,45,85,50,45
Zubat,40,45,35,30,40,55
Golbat,75,80,70,65,75,90
Oddish,45,50,55,75,65,30
Gloom,60,65,70,85,75,40
